key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay,key_resp_4.keys,key_resp_4.rt
space,4.4369,space,0.3894,space,0.0223,space,0.1557,right,3.2093,space,2.1077,right,1,1.9624,0,0,0,0,1,10000,109000,9,002,470,2022-03-05_09h42.05.221,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,,
,,,,,,,,,,,,left,0,3.5109,0,1,1,1,1,25000,35000,150,002,470,2022-03-05_09h42.05.221,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,,
,,,,,,,,,,,,left,0,3.8702,0,2,2,2,1,10000,19000,89,002,470,2022-03-05_09h42.05.221,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,002,470,2022-03-05_09h42.05.221,tareaTDv3,2020.2.5,Win32,60,g,8.3251,right,1,5.7172,0,0,0,78,1,25000,0,125000,59,,
,,,,,,,,,,,,,,,,,,,,,,,002,470,2022-03-05_09h42.05.221,tareaTDv3,2020.2.5,Win32,60,,,left,1,2.0093,0,1,1,7,1,10000,0,59000,9,,
,,,,,,,,,,,,,,,,,,,,,,,002,470,2022-03-05_09h42.05.221,tareaTDv3,2020.2.5,Win32,60,,,right,1,2.4683,0,2,2,80,1,25000,0,35000,90,,
,,,,,,,,,,,,,,,,,,,,,,,002,470,2022-03-05_09h42.05.221,tareaTDv3,2020.2.5,Win32,60,,,left,1,2.2354,0,3,3,6,1,10000,0,40000,10,,
,,,,,,,,,,,,,,,,,,,,,,,002,470,2022-03-05_09h42.05.221,tareaTDv3,2020.2.5,Win32,60,,,left,1,5.1728,0,4,4,86,1,25000,0,55000,151,,
,,,,,,,,,,,,,,,,,,,,,,,002,470,2022-03-05_09h42.05.221,tareaTDv3,2020.2.5,Win32,60,,,left,1,1.4417,0,5,5,52,1,5000,0,56000,89,,
,,,,,,,,,,,,,,,,,,,,,,,002,470,2022-03-05_09h42.05.221,tareaTDv3,2020.2.5,Win32,60,,,right,1,5.0264,0,6,6,88,1,25000,0,125000,149,,
,,,,,,,,,,,,,,,,,,,,,,,002,470,2022-03-05_09h42.05.221,tareaTDv3,2020.2.5,Win32,60,,,left,1,3.8604,0,7,7,21,1,10000,0,40000,91,,
,,,,,,,,,,,,,,,,,,,,,,,002,470,2022-03-05_09h42.05.221,tareaTDv3,2020.2.5,Win32,60,,,left,0,3.9331,0,8,8,15,1,10000,0,20000,59,,
,,,,,,,,,,,,,,,,,,,,,,,002,470,2022-03-05_09h42.05.221,tareaTDv3,2020.2.5,Win32,60,,,left,1,2.7011,0,9,9,58,1,5000,0,106000,152,,
,,,,,,,,,,,,,,,,,,,,,,,002,470,2022-03-05_09h42.05.221,tareaTDv3,2020.2.5,Win32,60,,,right,1,2.9767,0,10,10,28,1,10000,0,109000,149,,
,,,,,,,,,,,,,,,,,,,,,,,002,470,2022-03-05_09h42.05.221,tareaTDv3,2020.2.5,Win32,60,,,left,1,5.0928,0,11,11,65,1,25000,0,35000,11,,
,,,,,,,,,,,,,,,,,,,,,,,002,470,2022-03-05_09h42.05.221,tareaTDv3,2020.2.5,Win32,60,,,right,1,3.268,0,12,12,35,1,5000,0,15000,11,,
,,,,,,,,,,,,,,,,,,,,,,,002,470,2022-03-05_09h42.05.221,tareaTDv3,2020.2.5,Win32,60,,,left,1,2.1007,0,13,13,46,1,5000,0,36000,61,,
,,,,,,,,,,,,,,,,,,,,,,,002,470,2022-03-05_09h42.05.221,tareaTDv3,2020.2.5,Win32,60,,,right,1,2.3007,0,14,14,49,1,5000,0,149000,59,,
,,,,,,,,,,,,,,,,,,,,,,,002,470,2022-03-05_09h42.05.221,tareaTDv3,2020.2.5,Win32,60,,,right,1,4.3857,0,15,15,17,1,10000,0,60000,60,,
,,,,,,,,,,,,,,,,,,,,,,,002,470,2022-03-05_09h42.05.221,tareaTDv3,2020.2.5,Win32,60,,,right,1,8.6453,0,16,16,0,1,10000,0,20000,5,,
,,,,,,,,,,,,,,,,,,,,,,,002,470,2022-03-05_09h42.05.221,tareaTDv3,2020.2.5,Win32,60,,,left,1,1.6616,0,17,17,47,1,5000,0,56000,60,,
,,,,,,,,,,,,,,,,,,,,,,,002,470,2022-03-05_09h42.05.221,tareaTDv3,2020.2.5,Win32,60,,,left,1,2.9032,0,18,18,36,1,5000,0,36000,9,,
,,,,,,,,,,,,,,,,,,,,,,,002,470,2022-03-05_09h42.05.221,tareaTDv3,2020.2.5,Win32,60,,,right,1,3.5503,0,19,19,89,1,25000,0,150000,150,,
,,,,,,,,,,,,,,,,,,,,,,,002,470,2022-03-05_09h42.05.221,tareaTDv3,2020.2.5,Win32,60,,,right,1,5.6745,0,20,20,51,1,5000,0,35000,89,,
,,,,,,,,,,,,,,,,,,,,,,,002,470,2022-03-05_09h42.05.221,tareaTDv3,2020.2.5,Win32,60,,,right,1,1.1386,0,21,21,24,1,10000,0,149000,89,,
,,,,,,,,,,,,,,,,,,,,,,,002,470,2022-03-05_09h42.05.221,tareaTDv3,2020.2.5,Win32,60,,,left,1,4.1279,0,22,22,83,1,25000,0,125000,89,,
,,,,,,,,,,,,,,,,,,,,,,,002,470,2022-03-05_09h42.05.221,tareaTDv3,2020.2.5,Win32,60,,,left,0,5.801,0,23,23,20,1,10000,0,20000,90,,
,,,,,,,,,,,,,,,,,,,,,,,002,470,2022-03-05_09h42.05.221,tareaTDv3,2020.2.5,Win32,60,,,left,1,0.9284,0,24,24,39,1,5000,0,149000,10,,
,,,,,,,,,,,,,,,,,,,,,,,002,470,2022-03-05_09h42.05.221,tareaTDv3,2020.2.5,Win32,60,,,left,1,1.8386,0,25,25,53,1,5000,0,104000,90,,
,,,,,,,,,,,,,,,,,,,,,,,002,470,2022-03-05_09h42.05.221,tareaTDv3,2020.2.5,Win32,60,,,right,1,3.3121,0,26,26,31,1,5000,0,35000,6,,
,,,,,,,,,,,,,,,,,,,,,,,002,470,2022-03-05_09h42.05.221,tareaTDv3,2020.2.5,Win32,60,,,right,1,4.1345,0,27,27,62,1,25000,0,75000,5,,
,,,,,,,,,,,,,,,,,,,,,,,002,470,2022-03-05_09h42.05.221,tareaTDv3,2020.2.5,Win32,60,,,right,1,4.4925,0,28,28,10,1,10000,0,21000,31,,
,,,,,,,,,,,,,,,,,,,,,,,002,470,2022-03-05_09h42.05.221,tareaTDv3,2020.2.5,Win32,60,,,right,1,1.0754,0,29,29,59,1,5000,0,151000,150,,
