key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay,key_resp_4.keys,key_resp_4.rt
,,,,,,,,,,,,,,,,,,,,,,,002,216,2020-11-12_11h21.25.853,tareaTDv3,2020.2.5,Win32,60,,,left,1,6.69989,0,26,26,46,1,5000,0,36000,61,,
,,,,,,,,,,,,,,,,,,,,,,,002,216,2020-11-12_11h21.25.853,tareaTDv3,2020.2.5,Win32,60,,,left,0,4.167805,0,27,27,87,1,25000,0,75000,151,,
,,,,,,,,,,,,,,,,,,,,,,,002,216,2020-11-12_11h21.25.853,tareaTDv3,2020.2.5,Win32,60,,,left,1,1.88623,0,28,28,66,1,25000,0,55000,11,,
,,,,,,,,,,,,,,,,,,,,,,,002,216,2020-11-12_11h21.25.853,tareaTDv3,2020.2.5,Win32,60,,,right,1,4.324335,0,29,29,61,1,25000,0,55000,6,,
,,,,,,,,,,,,,,,,,,,,,,,002,216,2020-11-12_11h21.25.853,tareaTDv3,2020.2.5,Win32,60,,,left,1,2.2346,0,30,30,6,1,10000,0,40000,10,,
,,,,,,,,,,,,,,,,,,,,,,,002,216,2020-11-12_11h21.25.853,tareaTDv3,2020.2.5,Win32,60,,,left,1,6.72208,0,31,31,23,1,10000,0,110000,90,,
,,,,,,,,,,,,,,,,,,,,,,,002,216,2020-11-12_11h21.25.853,tareaTDv3,2020.2.5,Win32,60,,,left,1,3.28595,0,32,32,41,1,5000,0,35000,31,,
,,,,,,,,,,,,,,,,,,,,,,,002,216,2020-11-12_11h21.25.853,tareaTDv3,2020.2.5,Win32,60,,,right,1,3.30849,0,33,33,67,1,25000,0,75000,10,,
,,,,,,,,,,,,,,,,,,,,,,,002,216,2020-11-12_11h21.25.853,tareaTDv3,2020.2.5,Win32,60,,,right,0,2.40858,0,34,34,82,1,25000,0,75000,90,,
,,,,,,,,,,,,,,,,,,,,,,,002,216,2020-11-12_11h21.25.853,tareaTDv3,2020.2.5,Win32,60,,,left,1,3.45453,0,35,35,0,1,10000,0,20000,5,,
,,,,,,,,,,,,,,,,,,,,,,,002,216,2020-11-12_11h21.25.853,tareaTDv3,2020.2.5,Win32,60,,,left,0,3.24069,0,36,36,80,1,25000,0,35000,90,,
,,,,,,,,,,,,,,,,,,,,,,,002,216,2020-11-12_11h21.25.853,tareaTDv3,2020.2.5,Win32,60,,,right,1,3.13354,0,37,37,48,1,5000,0,105000,60,,
,,,,,,,,,,,,,,,,,,,,,,,002,216,2020-11-12_11h21.25.853,tareaTDv3,2020.2.5,Win32,60,,,left,1,1.867055,0,38,38,38,1,5000,0,104000,10,,
,,,,,,,,,,,,,,,,,,,,,,,002,216,2020-11-12_11h21.25.853,tareaTDv3,2020.2.5,Win32,60,,,left,1,2.604135,0,39,39,11,1,10000,0,39000,29,,
,,,,,,,,,,,,,,,,,,,,,,,002,216,2020-11-12_11h21.25.853,tareaTDv3,2020.2.5,Win32,60,,,right,1,2.601915,0,40,40,64,1,25000,0,150000,4,,
,,,,,,,,,,,,,,,,,,,,,,,002,216,2020-11-12_11h21.25.853,tareaTDv3,2020.2.5,Win32,60,,,right,1,4.552395,0,41,41,72,1,25000,0,75000,31,,
,,,,,,,,,,,,,,,,,,,,,,,002,216,2020-11-12_11h21.25.853,tareaTDv3,2020.2.5,Win32,60,,,left,1,2.2764,0,42,42,5,1,10000,0,19000,11,,
,,,,,,,,,,,,,,,,,,,,,,,002,216,2020-11-12_11h21.25.853,tareaTDv3,2020.2.5,Win32,60,,,right,1,3.011935,0,43,43,12,1,10000,0,60000,29,,
,,,,,,,,,,,,,,,,,,,,,,,002,216,2020-11-12_11h21.25.853,tareaTDv3,2020.2.5,Win32,60,,,left,0,3.883065,0,44,44,50,1,5000,0,15000,91,,
