key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay
space,9.025,space,2.6265,space,0.1541,space,1.7948,right,2.5182,space,4.8055,left,0,2.9474,0,0,0,2,1,10000,19000,89,25-07-2022,392,2022-07-25_07h53.09.531,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,left,1,2.4101,0,1,1,0,1,10000,109000,9,25-07-2022,392,2022-07-25_07h53.09.531,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,right,0,3.0799,0,2,2,1,1,25000,35000,150,25-07-2022,392,2022-07-25_07h53.09.531,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,25-07-2022,392,2022-07-25_07h53.09.531,tareaTDv3,2020.2.5,Win32,60,g,6.2622,left,1,2.4387,0,0,0,62,1,25000,0,75000,5
,,,,,,,,,,,,,,,,,,,,,,,25-07-2022,392,2022-07-25_07h53.09.531,tareaTDv3,2020.2.5,Win32,60,,,right,0,2.6204,0,1,1,40,1,5000,0,14000,31
,,,,,,,,,,,,,,,,,,,,,,,25-07-2022,392,2022-07-25_07h53.09.531,tareaTDv3,2020.2.5,Win32,60,,,left,1,1.9558,0,2,2,64,1,25000,0,150000,4
,,,,,,,,,,,,,,,,,,,,,,,25-07-2022,392,2022-07-25_07h53.09.531,tareaTDv3,2020.2.5,Win32,60,,,left,1,9.164,0,3,3,73,1,25000,0,125000,31
,,,,,,,,,,,,,,,,,,,,,,,25-07-2022,392,2022-07-25_07h53.09.531,tareaTDv3,2020.2.5,Win32,60,,,left,1,5.828,0,4,4,9,1,10000,0,151000,11
,,,,,,,,,,,,,,,,,,,,,,,25-07-2022,392,2022-07-25_07h53.09.531,tareaTDv3,2020.2.5,Win32,60,,,right,0,1.2198,0,5,5,21,1,10000,0,40000,91
,,,,,,,,,,,,,,,,,,,,,,,25-07-2022,392,2022-07-25_07h53.09.531,tareaTDv3,2020.2.5,Win32,60,,,left,1,1.8819,0,6,6,65,1,25000,0,35000,11
,,,,,,,,,,,,,,,,,,,,,,,25-07-2022,392,2022-07-25_07h53.09.531,tareaTDv3,2020.2.5,Win32,60,,,right,0,0.9389,0,7,7,52,1,5000,0,56000,89
,,,,,,,,,,,,,,,,,,,,,,,25-07-2022,392,2022-07-25_07h53.09.531,tareaTDv3,2020.2.5,Win32,60,,,left,1,0.8358,0,8,8,36,1,5000,0,36000,9
,,,,,,,,,,,,,,,,,,,,,,,25-07-2022,392,2022-07-25_07h53.09.531,tareaTDv3,2020.2.5,Win32,60,,,left,0,1.1456,0,9,9,77,1,25000,0,75000,59
,,,,,,,,,,,,,,,,,,,,,,,25-07-2022,392,2022-07-25_07h53.09.531,tareaTDv3,2020.2.5,Win32,60,,,right,1,2.3436,0,10,10,61,1,25000,0,55000,6
,,,,,,,,,,,,,,,,,,,,,,,25-07-2022,392,2022-07-25_07h53.09.531,tareaTDv3,2020.2.5,Win32,60,,,left,1,2.3814,0,11,11,3,1,10000,0,109000,5
,,,,,,,,,,,,,,,,,,,,,,,25-07-2022,392,2022-07-25_07h53.09.531,tareaTDv3,2020.2.5,Win32,60,,,right,1,1.5736,0,12,12,39,1,5000,0,149000,10
,,,,,,,,,,,,,,,,,,,,,,,25-07-2022,392,2022-07-25_07h53.09.531,tareaTDv3,2020.2.5,Win32,60,,,left,0,3.0085,0,13,13,11,1,10000,0,39000,29
,,,,,,,,,,,,,,,,,,,,,,,25-07-2022,392,2022-07-25_07h53.09.531,tareaTDv3,2020.2.5,Win32,60,,,right,1,2.9518,0,14,14,72,1,25000,0,75000,31
,,,,,,,,,,,,,,,,,,,,,,,25-07-2022,392,2022-07-25_07h53.09.531,tareaTDv3,2020.2.5,Win32,60,,,left,1,2.7062,0,15,15,32,1,5000,0,54000,5
,,,,,,,,,,,,,,,,,,,,,,,25-07-2022,392,2022-07-25_07h53.09.531,tareaTDv3,2020.2.5,Win32,60,,,left,0,1.6209,0,16,16,28,1,10000,0,109000,149
,,,,,,,,,,,,,,,,,,,,,,,25-07-2022,392,2022-07-25_07h53.09.531,tareaTDv3,2020.2.5,Win32,60,,,left,0,1.4091,0,17,17,81,1,25000,0,55000,90
,,,,,,,,,,,,,,,,,,,,,,,25-07-2022,392,2022-07-25_07h53.09.531,tareaTDv3,2020.2.5,Win32,60,,,left,0,0.9393,0,18,18,47,1,5000,0,56000,60
,,,,,,,,,,,,,,,,,,,,,,,25-07-2022,392,2022-07-25_07h53.09.531,tareaTDv3,2020.2.5,Win32,60,,,left,0,4.1173,0,19,19,89,1,25000,0,150000,150
,,,,,,,,,,,,,,,,,,,,,,,25-07-2022,392,2022-07-25_07h53.09.531,tareaTDv3,2020.2.5,Win32,60,,,right,0,1.9785,0,20,20,87,1,25000,0,75000,151
,,,,,,,,,,,,,,,,,,,,,,,25-07-2022,392,2022-07-25_07h53.09.531,tareaTDv3,2020.2.5,Win32,60,,,right,1,4.3076,0,21,21,14,1,10000,0,150000,30
,,,,,,,,,,,,,,,,,,,,,,,25-07-2022,392,2022-07-25_07h53.09.531,tareaTDv3,2020.2.5,Win32,60,,,right,0,3.9892,0,22,22,78,1,25000,0,125000,59
,,,,,,,,,,,,,,,,,,,,,,,25-07-2022,392,2022-07-25_07h53.09.531,tareaTDv3,2020.2.5,Win32,60,,,right,1,2.9975,0,23,23,69,1,25000,0,150000,9
,,,,,,,,,,,,,,,,,,,,,,,25-07-2022,392,2022-07-25_07h53.09.531,tareaTDv3,2020.2.5,Win32,60,,,right,1,1.915,0,24,24,2,1,10000,0,61000,4
,,,,,,,,,,,,,,,,,,,,,,,25-07-2022,392,2022-07-25_07h53.09.531,tareaTDv3,2020.2.5,Win32,60,,,left,1,1.3899,0,25,25,67,1,25000,0,75000,10
,,,,,,,,,,,,,,,,,,,,,,,25-07-2022,392,2022-07-25_07h53.09.531,tareaTDv3,2020.2.5,Win32,60,,,left,1,2.6033,0,26,26,0,1,10000,0,20000,5
,,,,,,,,,,,,,,,,,,,,,,,25-07-2022,392,2022-07-25_07h53.09.531,tareaTDv3,2020.2.5,Win32,60,,,left,0,1.0181,0,27,27,18,1,10000,0,110000,60
,,,,,,,,,,,,,,,,,,,,,,,25-07-2022,392,2022-07-25_07h53.09.531,tareaTDv3,2020.2.5,Win32,60,,,right,0,0.7382,0,28,28,20,1,10000,0,20000,90
,,,,,,,,,,,,,,,,,,,,,,,25-07-2022,392,2022-07-25_07h53.09.531,tareaTDv3,2020.2.5,Win32,60,,,right,1,4.1327,0,29,29,31,1,5000,0,35000,6
,,,,,,,,,,,,,,,,,,,,,,,25-07-2022,392,2022-07-25_07h53.09.531,tareaTDv3,2020.2.5,Win32,60,,,right,0,3.3846,0,30,30,60,1,25000,0,35000,5
,,,,,,,,,,,,,,,,,,,,,,,25-07-2022,392,2022-07-25_07h53.09.531,tareaTDv3,2020.2.5,Win32,60,,,right,1,0.8492,0,31,31,1,1,10000,0,39000,6
,,,,,,,,,,,,,,,,,,,,,,,25-07-2022,392,2022-07-25_07h53.09.531,tareaTDv3,2020.2.5,Win32,60,,,right,0,0.8071,0,32,32,23,1,10000,0,110000,90
,,,,,,,,,,,,,,,,,,,,,,,25-07-2022,392,2022-07-25_07h53.09.531,tareaTDv3,2020.2.5,Win32,60,,,right,0,5.5241,0,33,33,25,1,10000,0,10000,150
,,,,,,,,,,,,,,,,,,,,,,,25-07-2022,392,2022-07-25_07h53.09.531,tareaTDv3,2020.2.5,Win32,60,,,left,0,7.2822,0,34,34,82,1,25000,0,75000,90
,,,,,,,,,,,,,,,,,,,,,,,25-07-2022,392,2022-07-25_07h53.09.531,tareaTDv3,2020.2.5,Win32,60,,,left,1,2.0483,0,35,35,41,1,5000,0,35000,31
,,,,,,,,,,,,,,,,,,,,,,,25-07-2022,392,2022-07-25_07h53.09.531,tareaTDv3,2020.2.5,Win32,60,,,left,1,3.3207,0,36,36,37,1,5000,0,56000,9
,,,,,,,,,,,,,,,,,,,,,,,25-07-2022,392,2022-07-25_07h53.09.531,tareaTDv3,2020.2.5,Win32,60,,,left,1,3.4636,0,37,37,54,1,5000,0,150000,90
,,,,,,,,,,,,,,,,,,,,,,,25-07-2022,392,2022-07-25_07h53.09.531,tareaTDv3,2020.2.5,Win32,60,,,right,0,2.4118,0,38,38,51,1,5000,0,35000,89
,,,,,,,,,,,,,,,,,,,,,,,25-07-2022,392,2022-07-25_07h53.09.531,tareaTDv3,2020.2.5,Win32,60,,,right,0,2.5037,0,39,39,55,1,5000,0,14000,149
,,,,,,,,,,,,,,,,,,,,,,,25-07-2022,392,2022-07-25_07h53.09.531,tareaTDv3,2020.2.5,Win32,60,,,right,1,8.9417,0,40,40,8,1,10000,0,111000,10
,,,,,,,,,,,,,,,,,,,,,,,25-07-2022,392,2022-07-25_07h53.09.531,tareaTDv3,2020.2.5,Win32,60,,,right,0,5.8712,0,41,41,43,1,5000,0,106000,29
,,,,,,,,,,,,,,,,,,,,,,,25-07-2022,392,2022-07-25_07h53.09.531,tareaTDv3,2020.2.5,Win32,60,,,right,1,5.1243,0,42,42,63,1,25000,0,125000,4
,,,,,,,,,,,,,,,,,,,,,,,25-07-2022,392,2022-07-25_07h53.09.531,tareaTDv3,2020.2.5,Win32,60,,,right,0,3.7465,0,43,43,22,1,10000,0,61000,89
,,,,,,,,,,,,,,,,,,,,,,,25-07-2022,392,2022-07-25_07h53.09.531,tareaTDv3,2020.2.5,Win32,60,,,right,1,1.599,0,44,44,79,1,25000,0,150000,61
,,,,,,,,,,,,,,,,,,,,,,,25-07-2022,392,2022-07-25_07h53.09.531,tareaTDv3,2020.2.5,Win32,60,,,left,1,1.4749,0,45,45,34,1,5000,0,151000,4
,,,,,,,,,,,,,,,,,,,,,,,25-07-2022,392,2022-07-25_07h53.09.531,tareaTDv3,2020.2.5,Win32,60,,,left,0,2.2232,0,46,46,19,1,10000,0,149000,61
,,,,,,,,,,,,,,,,,,,,,,,25-07-2022,392,2022-07-25_07h53.09.531,tareaTDv3,2020.2.5,Win32,60,,,left,0,7.2129,0,47,47,70,1,25000,0,35000,30
,,,,,,,,,,,,,,,,,,,,,,,25-07-2022,392,2022-07-25_07h53.09.531,tareaTDv3,2020.2.5,Win32,60,,,left,0,1.0923,0,48,48,76,1,25000,0,55000,60
,,,,,,,,,,,,,,,,,,,,,,,25-07-2022,392,2022-07-25_07h53.09.531,tareaTDv3,2020.2.5,Win32,60,,,left,1,1.9452,0,49,49,33,1,5000,0,104000,5
,,,,,,,,,,,,,,,,,,,,,,,25-07-2022,392,2022-07-25_07h53.09.531,tareaTDv3,2020.2.5,Win32,60,,,right,1,6.1943,0,50,50,17,1,10000,0,60000,60
,,,,,,,,,,,,,,,,,,,,,,,25-07-2022,392,2022-07-25_07h53.09.531,tareaTDv3,2020.2.5,Win32,60,,,left,0,4.274,0,51,51,57,1,5000,0,55000,151
,,,,,,,,,,,,,,,,,,,,,,,25-07-2022,392,2022-07-25_07h53.09.531,tareaTDv3,2020.2.5,Win32,60,,,left,0,4.4356,0,52,52,56,1,5000,0,35000,150
,,,,,,,,,,,,,,,,,,,,,,,25-07-2022,392,2022-07-25_07h53.09.531,tareaTDv3,2020.2.5,Win32,60,,,left,1,3.7333,0,53,53,44,1,5000,0,150000,30
,,,,,,,,,,,,,,,,,,,,,,,25-07-2022,392,2022-07-25_07h53.09.531,tareaTDv3,2020.2.5,Win32,60,,,left,0,4.7358,0,54,54,24,1,10000,0,149000,89
,,,,,,,,,,,,,,,,,,,,,,,25-07-2022,392,2022-07-25_07h53.09.531,tareaTDv3,2020.2.5,Win32,60,,,left,0,2.7112,0,55,55,10,1,10000,0,21000,31
,,,,,,,,,,,,,,,,,,,,,,,25-07-2022,392,2022-07-25_07h53.09.531,tareaTDv3,2020.2.5,Win32,60,,,left,0,8.1207,0,56,56,50,1,5000,0,15000,91
