key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate
space,3.379,space,58.09,space,0.027,space,0.356,right,12.077,space,1.576,left,1,1.805,0,0,0,0,1,10000,109000,9,2,279,2020-11-12_11h21.45.651,tareaTDv3,2020.2.5,MacIntel,60
,,,,,,,,,,,,right,0,10.045,0,1,1,2,1,10000,19000,89,2,279,2020-11-12_11h21.45.651,tareaTDv3,2020.2.5,MacIntel,60
,,,,,,,,,,,,,0,,0,2,2,1,1,25000,35000,150,2,279,2020-11-12_11h21.45.651,tareaTDv3,2020.2.5,MacIntel,60
