key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_am,ss_del,ll_am,ll_del
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,F463,2022-09-07_08h27.03.548,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,4.549,0.0,21.0,21.0,88.0,1.0,25000.0,0.0,125000.0,149.0
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,F463,2022-09-07_08h27.03.548,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,3.1473,0.0,22.0,22.0,17.0,1.0,10000.0,0.0,60000.0,60.0
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,F463,2022-09-07_08h27.03.548,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,3.3652,0.0,23.0,23.0,33.0,1.0,5000.0,0.0,104000.0,5.0
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,F463,2022-09-07_08h27.03.548,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,4.0851,0.0,24.0,24.0,74.0,1.0,25000.0,0.0,150000.0,29.0
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,F463,2022-09-07_08h27.03.548,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,8.3019,0.0,25.0,25.0,22.0,1.0,10000.0,0.0,61000.0,89.0
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,F463,2022-09-07_08h27.03.548,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,7.0516,0.0,26.0,26.0,58.0,1.0,5000.0,0.0,106000.0,152.0
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,F463,2022-09-07_08h27.03.548,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,3.2802,0.0,27.0,27.0,89.0,1.0,25000.0,0.0,150000.0,150.0
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,F463,2022-09-07_08h27.03.548,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,4.5964,0.0,28.0,28.0,36.0,1.0,5000.0,0.0,36000.0,9.0
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,F463,2022-09-07_08h27.03.548,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,1.8343,0.0,29.0,29.0,69.0,1.0,25000.0,0.0,150000.0,9.0
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,F463,2022-09-07_08h27.03.548,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,1.5319,0.0,30.0,30.0,29.0,1.0,10000.0,0.0,151000.0,151.0
