key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate
space,0.9566,space,0.14252,space,0.34229,space,1.94208,left,2.07358,space,1.3969,left,0,1.212985,0,0,0,2,1,10000,19000,89,2,,2020-11-12_11h44.49.060,tareaTDv3,2020.2.5,Win32,60
,,,,,,,,,,,,right,0,3.42013,0,1,1,1,1,25000,35000,150,2,,2020-11-12_11h44.49.060,tareaTDv3,2020.2.5,Win32,60
,,,,,,,,,,,,left,0,1.556565,0,2,2,0,1,10000,109000,9,2,,2020-11-12_11h44.49.060,tareaTDv3,2020.2.5,Win32,60
