key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay,key_resp_4.keys,key_resp_4.rt
,,,,,,,,,,,,,,,,,,,,,,,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,right,1,0.3829,0,26,26,43,1,5000,0,106000,29,,
,,,,,,,,,,,,,,,,,,,,,,,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,left,1,0.5368,0,27,27,35,1,5000,0,15000,11,,
,,,,,,,,,,,,,,,,,,,,,,,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,right,1,0.4327,0,28,28,69,1,25000,0,150000,9,,
,,,,,,,,,,,,,,,,,,,,,,,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,left,1,3.13,0,29,29,66,1,25000,0,55000,11,,
,,,,,,,,,,,,,,,,,,,,,,,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,right,1,1.0433,0,30,30,3,1,10000,0,109000,5,,
,,,,,,,,,,,,,,,,,,,,,,,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,right,1,1.2684,0,31,31,71,1,25000,0,55000,30,,
,,,,,,,,,,,,,,,,,,,,,,,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,right,0,1.9107,0,32,32,74,1,25000,0,150000,29,,
,,,,,,,,,,,,,,,,,,,,,,,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,right,0,1.207,0,33,33,17,1,10000,0,60000,60,,
,,,,,,,,,,,,,,,,,,,,,,,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,right,1,3.0287,0,34,34,57,1,5000,0,55000,151,,
,,,,,,,,,,,,,,,,,,,,,,,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,right,1,0.3287,0,35,35,24,1,10000,0,149000,89,,
,,,,,,,,,,,,,,,,,,,,,,,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,right,0,0.9332,0,36,36,52,1,5000,0,56000,89,,
,,,,,,,,,,,,,,,,,,,,,,,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,left,0,1.3679,0,37,37,85,1,25000,0,35000,150,,
,,,,,,,,,,,,,,,,,,,,,,,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,right,1,1.2571,0,38,38,65,1,25000,0,35000,11,,
,,,,,,,,,,,,,,,,,,,,,,,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,left,0,4.9236,0,39,39,81,1,25000,0,55000,90,,
,,,,,,,,,,,,,,,,,,,,,,,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,right,1,6.3743,0,40,40,13,1,10000,0,111000,30,,
,,,,,,,,,,,,,,,,,,,,,,,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,right,1,0.4479,0,41,41,11,1,10000,0,39000,29,,
,,,,,,,,,,,,,,,,,,,,,,,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,right,1,0.9497,0,42,42,64,1,25000,0,150000,4,,
,,,,,,,,,,,,,,,,,,,,,,,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,right,1,0.223,0,43,43,84,1,25000,0,150000,89,,
,,,,,,,,,,,,,,,,,,,,,,,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,right,0,1.8716,0,44,44,88,1,25000,0,125000,149,,
,,,,,,,,,,,,,,,,,,,,,,,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,left,1,2.9233,0,45,45,67,1,25000,0,75000,10,,
,,,,,,,,,,,,,,,,,,,,,,,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,left,1,3.3241,0,46,46,70,1,25000,0,35000,30,,
,,,,,,,,,,,,,,,,,,,,,,,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,left,0,2.6314,0,47,47,55,1,5000,0,14000,149,,
,,,,,,,,,,,,,,,,,,,,,,,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,right,1,0.2879,0,48,48,32,1,5000,0,54000,5,,
,,,,,,,,,,,,,,,,,,,,,,,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,left,1,1.4565,0,49,49,4,1,10000,0,150000,5,,
,,,,,,,,,,,,,,,,,,,,,,,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,right,0,2.6681,0,50,50,41,1,5000,0,35000,31,,
,,,,,,,,,,,,,,,,,,,,,,,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,left,1,1.0096,0,51,51,82,1,25000,0,75000,90,,
,,,,,,,,,,,,,,,,,,,,,,,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,left,1,0.4112,0,52,52,36,1,5000,0,36000,9,,
,,,,,,,,,,,,,,,,,,,,,,,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,left,0,6.0623,0,53,53,16,1,10000,0,39000,59,,
,,,,,,,,,,,,,,,,,,,,,,,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,right,1,3.1319,0,54,54,23,1,10000,0,110000,90,,
,,,,,,,,,,,,,,,,,,,,,,,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,right,1,1.6252,0,55,55,38,1,5000,0,104000,10,,
,,,,,,,,,,,,,,,,,,,,,,,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,right,1,1.0156,0,56,56,68,1,25000,0,125000,9,,
,,,,,,,,,,,,,,,,,,,,,,,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,right,0,1.6154,0,57,57,10,1,10000,0,21000,31,,
,,,,,,,,,,,,,,,,,,,,,,,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,left,1,2.1398,0,58,58,39,1,5000,0,149000,10,,
,,,,,,,,,,,,,,,,,,,,,,,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,right,1,1.2643,0,59,59,7,1,10000,0,59000,9,,
,,,,,,,,,,,,,,,,,,,,,,,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,left,1,1.3929,0,60,60,61,1,25000,0,55000,6,,
,,,,,,,,,,,,,,,,,,,,,,,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,right,1,0.4268,0,61,61,40,1,5000,0,14000,31,,
,,,,,,,,,,,,,,,,,,,,,,,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,left,1,2.5219,0,62,62,26,1,10000,0,39000,150,,
,,,,,,,,,,,,,,,,,,,,,,,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,right,1,5.7713,0,63,63,62,1,25000,0,75000,5,,
,,,,,,,,,,,,,,,,,,,,,,,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,left,1,2.4156,0,64,64,44,1,5000,0,150000,30,,
,,,,,,,,,,,,,,,,,,,,,,,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,right,1,1.4758,0,65,65,9,1,10000,0,151000,11,,
,,,,,,,,,,,,,,,,,,,,,,,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,left,0,1.8622,0,66,66,22,1,10000,0,61000,89,,
,,,,,,,,,,,,,,,,,,,,,,,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,left,1,0.4241,0,67,67,53,1,5000,0,104000,90,,
,,,,,,,,,,,,,,,,,,,,,,,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,right,1,0.4339,0,68,68,29,1,10000,0,151000,151,,
,,,,,,,,,,,,,,,,,,,,,,,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,right,1,0.1781,0,69,69,46,1,5000,0,36000,61,,
,,,,,,,,,,,,,,,,,,,,,,,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,right,0,2.2655,0,70,70,25,1,10000,0,10000,150,,
,,,,,,,,,,,,,,,,,,,,,,,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,left,1,3.5833,0,71,71,21,1,10000,0,40000,91,,
,,,,,,,,,,,,,,,,,,,,,,,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,left,0,5.1393,0,72,72,83,1,25000,0,125000,89,,
,,,,,,,,,,,,,,,,,,,,,,,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,right,0,0.7586,0,73,73,75,1,25000,0,35000,60,,
,,,,,,,,,,,,,,,,,,,,,,,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,right,0,3.6932,0,74,74,19,1,10000,0,149000,61,,
,,,,,,,,,,,,,,,,,,,,,,,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,left,1,1.9241,0,75,75,5,1,10000,0,19000,11,,
,,,,,,,,,,,,,,,,,,,,,,,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,left,1,0.8465,0,76,76,0,1,10000,0,20000,5,,
,,,,,,,,,,,,,,,,,,,,,,,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,left,1,8.6752,0,77,77,50,1,5000,0,15000,91,,
,,,,,,,,,,,,,,,,,,,,,,,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,left,0,6.7645,0,78,78,51,1,5000,0,35000,89,,
,,,,,,,,,,,,,,,,,,,,,,,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,left,1,3.2332,0,79,79,63,1,25000,0,125000,4,,
,,,,,,,,,,,,,,,,,,,,,,,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,left,0,2.5171,0,80,80,78,1,25000,0,125000,59,,
,,,,,,,,,,,,,,,,,,,,,,,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,right,0,1.9616,0,81,81,49,1,5000,0,149000,59,,
,,,,,,,,,,,,,,,,,,,,,,,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,left,1,2.0902,0,82,82,15,1,10000,0,20000,59,,
,,,,,,,,,,,,,,,,,,,,,,,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,right,0,4.4239,0,83,83,72,1,25000,0,75000,31,,
,,,,,,,,,,,,,,,,,,,,,,,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,right,0,1.3413,0,84,84,27,1,10000,0,61000,150,,
,,,,,,,,,,,,,,,,,,,,,,,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,right,0,1.5665,0,85,85,86,1,25000,0,55000,151,,
,,,,,,,,,,,,,,,,,,,,,,,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,right,0,2.6857,0,86,86,87,1,25000,0,75000,151,,
,,,,,,,,,,,,,,,,,,,,,,,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,left,0,7.0931,0,87,87,89,1,25000,0,150000,150,,
,,,,,,,,,,,,,,,,,,,,,,,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,left,0,1.5036,0,88,88,48,1,5000,0,105000,60,,
,,,,,,,,,,,,,,,,,,,,,,,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,left,0,4.1255,0,89,89,79,1,25000,0,150000,61,,
,,,,,,,,,,,,,,,,,,,,,,,002,f449,2022-09-07_08h01.58.632,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,space,1.3968
