key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay
space,2.9415,space,1.740175,space,2.68437,space,6.65449,left,5.017915,space,1.834525,left,0,6.035105,0,0,0,2,1,10000,19000,89,002,67,2020-11-13_09h49.43.532,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,left,1,3.57038,0,1,1,0,1,10000,109000,9,002,67,2020-11-13_09h49.43.532,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,right,0,2.29512,0,2,2,1,1,25000,35000,150,002,67,2020-11-13_09h49.43.532,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,002,67,2020-11-13_09h49.43.532,tareaTDv3,2020.2.5,Win32,60,g,68.9961,right,1,4.59171,0,0,0,12,1,10000,0,60000,29
,,,,,,,,,,,,,,,,,,,,,,,002,67,2020-11-13_09h49.43.532,tareaTDv3,2020.2.5,Win32,60,,,left,1,2.206275,0,1,1,66,1,25000,0,55000,11
,,,,,,,,,,,,,,,,,,,,,,,002,67,2020-11-13_09h49.43.532,tareaTDv3,2020.2.5,Win32,60,,,left,1,5.5582,0,2,2,48,1,5000,0,105000,60
,,,,,,,,,,,,,,,,,,,,,,,002,67,2020-11-13_09h49.43.532,tareaTDv3,2020.2.5,Win32,60,,,right,1,4.906,0,3,3,47,1,5000,0,56000,60
,,,,,,,,,,,,,,,,,,,,,,,002,67,2020-11-13_09h49.43.532,tareaTDv3,2020.2.5,Win32,60,,,right,0,2.701225,0,4,4,58,1,5000,0,106000,152
,,,,,,,,,,,,,,,,,,,,,,,002,67,2020-11-13_09h49.43.532,tareaTDv3,2020.2.5,Win32,60,,,right,1,1.568405,0,5,5,39,1,5000,0,149000,10
,,,,,,,,,,,,,,,,,,,,,,,002,67,2020-11-13_09h49.43.532,tareaTDv3,2020.2.5,Win32,60,,,right,0,1.37696,0,6,6,26,1,10000,0,39000,150
,,,,,,,,,,,,,,,,,,,,,,,002,67,2020-11-13_09h49.43.532,tareaTDv3,2020.2.5,Win32,60,,,left,0,2.766065,0,7,7,5,1,10000,0,19000,11
,,,,,,,,,,,,,,,,,,,,,,,002,67,2020-11-13_09h49.43.532,tareaTDv3,2020.2.5,Win32,60,,,right,0,1.541985,0,8,8,50,1,5000,0,15000,91
,,,,,,,,,,,,,,,,,,,,,,,002,67,2020-11-13_09h49.43.532,tareaTDv3,2020.2.5,Win32,60,,,left,0,2.847615,0,9,9,57,1,5000,0,55000,151
,,,,,,,,,,,,,,,,,,,,,,,002,67,2020-11-13_09h49.43.532,tareaTDv3,2020.2.5,Win32,60,,,left,1,7.294395,0,10,10,62,1,25000,0,75000,5
,,,,,,,,,,,,,,,,,,,,,,,002,67,2020-11-13_09h49.43.532,tareaTDv3,2020.2.5,Win32,60,,,left,0,1.610835,0,11,11,10,1,10000,0,21000,31
,,,,,,,,,,,,,,,,,,,,,,,002,67,2020-11-13_09h49.43.532,tareaTDv3,2020.2.5,Win32,60,,,left,0,1.54056,0,12,12,71,1,25000,0,55000,30
,,,,,,,,,,,,,,,,,,,,,,,002,67,2020-11-13_09h49.43.532,tareaTDv3,2020.2.5,Win32,60,,,right,1,3.247915,0,13,13,67,1,25000,0,75000,10
,,,,,,,,,,,,,,,,,,,,,,,002,67,2020-11-13_09h49.43.532,tareaTDv3,2020.2.5,Win32,60,,,left,0,1.567245,0,14,14,84,1,25000,0,150000,89
,,,,,,,,,,,,,,,,,,,,,,,002,67,2020-11-13_09h49.43.532,tareaTDv3,2020.2.5,Win32,60,,,right,1,2.2065,0,15,15,68,1,25000,0,125000,9
