key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate
space,6.928,space,0.03,space,0.167,space,0.108,right,0.529,space,1.444,right,0,6.713,0,0,0,1,1,25000,35000,150,002,215,2020-11-12_11h21.30.510,tareaTDv3,2020.2.5,MacIntel,60
,,,,,,,,,,,,left,1,15.063,0,1,1,0,1,10000,109000,9,002,215,2020-11-12_11h21.30.510,tareaTDv3,2020.2.5,MacIntel,60
,,,,,,,,,,,,right,0,11.085,0,2,2,2,1,10000,19000,89,002,215,2020-11-12_11h21.30.510,tareaTDv3,2020.2.5,MacIntel,60
